stage	type	logexpr
MII	now	0.9712787922
MII	next	0.9712787922
MII	now	1.65054530622
MII	next	1.65054530622
MII	now	1.73594368307
MII	next	1.73594368307
MII	now	3.06439042236
MII	next	3.06439042236
MII	now	0.556861713237
MII	next	0.556861713237
MII	now	2.95459252022
MII	next	2.95459252022
MII	now	5.20898329419
MII	next	5.20898329419
MII	now	1.05971898858
MII	next	1.05971898858
MII	now	2.61881088956
MII	next	2.61881088956
MII	now	0.876788699154
MII	next	0.876788699154
MII	now	1.08866969112
MII	next	1.08866969112
MII	now	1.97029888273
MII	next	1.97029888273
MII	now	1.01522705653
MII	next	1.01522705653
MII	now	0.250641201715
MII	next	0.250641201715
MII	now	3.56480605051
MII	next	3.56480605051
MII	now	0.191276342752
MII	next	0.191276342752
MII	now	0.460691026251
MII	next	0.460691026251
MII	now	1.99335927838
MII	next	1.99335927838
MII	now	0.715309766061
MII	next	0.715309766061
MII	now	1.53204701892
MII	next	1.53204701892
MII	now	2.22103550054
MII	next	2.22103550054
MII	now	1.78065976143
MII	next	1.78065976143
MII	now	2.18440047671
MII	next	2.18440047671
MII	now	3.73700034675
MII	next	3.73700034675
MII	now	1.3465447081
MII	next	1.3465447081
MII	now	0.470845150068
MII	next	0.470845150068
MII	now	1.3750109421
MII	next	1.3750109421
MII	now	0.53002807099
MII	next	0.53002807099
MII	now	3.79987282541
MII	next	3.79987282541
MII	now	1.80897705885
MII	next	1.80897705885
MII	now	0.927681608801
MII	next	0.927681608801
MII	now	1.49183161116
MII	next	1.49183161116
MII	now	0.207398648308
MII	next	0.207398648308
MII	now	0.585956101554
MII	next	0.585956101554
MII	now	1.29903295288
MII	next	1.29903295288
MII	now	0.915057972338
MII	next	0.915057972338
MII	now	1.77136966958
MII	next	1.77136966958
MII	now	2.28658578391
MII	next	2.28658578391
MII	now	0.430296898005
MII	next	0.430296898005
MII	now	1.22069716922
MII	next	1.22069716922
MII	now	1.18589946096
MII	next	1.18589946096
MII	now	1.37369026214
MII	next	1.37369026214
MII	now	1.61430604383
MII	next	1.61430604383
MII	now	1.27113600298
MII	next	1.27113600298
MII	now	0.849398509621
MII	next	0.849398509621
MII	now	1.42204270642
MII	next	1.42204270642
MII	now	4.04875427299
MII	next	4.04875427299
MII	now	2.08605338519
MII	next	2.08605338519
MII	now	0.643585543882
MII	next	0.643585543882
MII	now	2.41021902249
MII	next	2.41021902249
MII	now	0.195352944893
MII	next	0.195352944893
MII	now	0.853018608516
MII	next	0.853018608516
MII	now	3.35214718369
MII	next	3.35214718369
MII	now	3.54734469122
MII	next	3.54734469122
MII	now	1.08542910444
MII	next	1.08542910444
MII	now	1.82859432567
MII	next	1.82859432567
zygote	now	0.690291105859
zygote	next	0.690291105859
zygote	now	1.10228221292
zygote	next	1.10228221292
zygote	now	0.90472814203
zygote	next	0.90472814203
zygote	now	1.34231373755
zygote	next	1.34231373755
zygote	now	0.317629391444
zygote	next	0.317629391444
zygote	now	0.208742755818
zygote	next	0.208742755818
zygote	now	1.8086198639
zygote	next	1.8086198639
zygote	now	1.24172224338
zygote	next	1.24172224338
zygote	now	0.814541465577
zygote	next	0.814541465577
zygote	now	0.319811354585
zygote	next	0.319811354585
zygote	now	0.636569950741
zygote	next	0.636569950741
zygote	now	0.393284558832
zygote	next	0.393284558832
zygote	now	1.43426990786
zygote	next	1.43426990786
zygote	now	0.299660049211
zygote	next	0.299660049211
zygote	now	1.13715969828
zygote	next	1.13715969828
zygote	now	1.74756721844
zygote	next	1.74756721844
zygote	now	0.162493779182
zygote	next	0.162493779182
zygote	now	3.26389507856
zygote	next	3.26389507856
zygote	now	0.443897048724
zygote	next	0.443897048724
zygote	now	0.632599087065
zygote	next	0.632599087065
zygote	now	0.116706901276
zygote	next	0.116706901276
zygote	now	1.74019947261
zygote	next	1.74019947261
zygote	now	0.419689460621
zygote	next	0.419689460621
zygote	now	1.89593928814
zygote	next	1.89593928814
zygote	now	0.542428936513
zygote	next	0.542428936513
zygote	now	0.180471513185
zygote	next	0.180471513185
zygote	now	1.3557037017
zygote	next	1.3557037017
zygote	now	1.40602835861
zygote	next	1.40602835861
zygote	now	0.134459212067
zygote	next	0.134459212067
zygote	now	0.419688146119
zygote	next	0.419688146119
zygote	now	0.489448962328
zygote	next	0.489448962328
zygote	now	1.59043856242
zygote	next	1.59043856242
zygote	now	1.03574703351
zygote	next	1.03574703351
zygote	now	1.28282372518
zygote	next	1.28282372518
zygote	now	0.707897852506
zygote	next	0.707897852506
zygote	now	1.86336669808
zygote	next	1.86336669808
zygote	now	2.33399751602
zygote	next	2.33399751602
zygote	now	1.89538047281
zygote	next	1.89538047281
zygote	now	2.7399299325
zygote	next	2.7399299325
zygote	now	1.32885326027
zygote	next	1.32885326027
zygote	now	0.78619571386
zygote	next	0.78619571386
zygote	now	0.537418089029
zygote	next	0.537418089029
zygote	now	0.1684964286
zygote	next	0.1684964286
zygote	now	1.46998962087
zygote	next	1.46998962087
zygote	now	4.67829052774
zygote	next	4.67829052774
zygote	now	1.00185539621
zygote	next	1.00185539621
zygote	now	0.33904677679
zygote	next	0.33904677679
zygote	now	0.749210828696
zygote	next	0.749210828696
zygote	now	0.423081687611
zygote	next	0.423081687611
zygote	now	0.126687274992
zygote	next	0.126687274992
zygote	now	1.50993575857
zygote	next	1.50993575857
zygote	now	0.395624851197
