stage	type	logexpr
MII	now	1.65054530622
MII	next	1.44983707411
MII	now	1.73594368307
MII	next	2.67869691107
MII	now	3.06439042236
MII	next	2.67633935153
MII	now	2.95459252022
MII	next	1.88989293254
MII	now	5.20898329419
MII	next	4.25734454266
MII	now	1.05971898858
MII	next	0.906466633053
MII	now	2.61881088956
MII	next	1.8086198639
MII	now	0.876788699154
MII	next	1.03527127246
MII	now	1.08866969112
MII	next	1.11528584251
MII	now	1.97029888273
MII	next	1.44430380162
MII	now	1.01522705653
MII	next	1.91065299917
MII	now	3.56480605051
MII	next	3.12643153448
MII	now	1.99335927838
MII	next	1.95189790092
MII	now	1.53204701892
MII	next	1.30741077307
MII	now	2.22103550054
MII	next	1.74756721844
MII	now	1.78065976143
MII	next	1.68693029387
MII	now	2.18440047671
MII	next	1.74057318666
MII	now	3.73700034675
MII	next	3.26389507856
MII	now	1.3465447081
MII	next	1.40155236351
MII	now	1.3750109421
MII	next	1.079891476
MII	now	3.79987282541
MII	next	4.9223576612
MII	now	1.80897705885
MII	next	0.979197923116
MII	now	1.49183161116
MII	next	1.37094719351
MII	now	0.915057972338
MII	next	1.02531014559
MII	now	1.77136966958
MII	next	1.33327589527
MII	now	2.28658578391
MII	next	1.63159854177
MII	now	1.22069716922
MII	next	0.69514019319
MII	now	1.18589946096
MII	next	2.17957416569
MII	now	1.37369026214
MII	next	1.33030056297
MII	now	1.61430604383
MII	next	1.11926749359
MII	now	1.27113600298
MII	next	1.10380544751
MII	now	1.42204270642
MII	next	1.54852799993
MII	now	4.04875427299
MII	next	5.608830564
MII	now	2.08605338519
MII	next	1.59043856242
MII	now	2.41021902249
MII	next	1.24007423449
MII	now	0.853018608516
MII	next	0.737848042538
MII	now	3.35214718369
MII	next	2.7399299325
MII	now	3.54734469122
MII	next	4.20845567944
MII	now	1.08542910444
MII	next	0.79466532375
zygote	now	1.10228221292
zygote	next	0.847386427894
zygote	now	0.90472814203
zygote	next	1.00712180453
zygote	now	1.34231373755
zygote	next	1.78776483462
zygote	now	1.8086198639
zygote	next	1.74264975401
zygote	now	1.24172224338
zygote	next	1.28878075556
zygote	now	0.814541465577
zygote	next	0.746028962633
zygote	now	1.43426990786
zygote	next	0.882415386752
zygote	now	1.13715969828
zygote	next	1.30802466407
zygote	now	1.74756721844
zygote	next	0.916922532246
zygote	now	3.26389507856
zygote	next	3.48486121744
zygote	now	1.74019947261
zygote	next	1.96062422134
zygote	now	1.89593928814
zygote	next	1.53318949732
zygote	now	1.3557037017
zygote	next	1.29209905961
zygote	now	1.40602835861
zygote	next	1.10023097788
zygote	now	1.59043856242
zygote	next	1.62649363318
zygote	now	1.03574703351
zygote	next	0.791348631155
zygote	now	1.28282372518
zygote	next	0.997627371288
zygote	now	0.707897852506
zygote	next	0.995253471977
zygote	now	1.86336669808
zygote	next	1.61935259909
zygote	now	2.33399751602
zygote	next	1.74063282762
zygote	now	1.89538047281
zygote	next	1.75661921965
zygote	now	2.7399299325
zygote	next	2.6802404018
zygote	now	1.32885326027
zygote	next	0.866150456715
zygote	now	1.46998962087
zygote	next	1.29051557154
zygote	now	4.67829052774
zygote	next	3.47050575893
zygote	now	1.00185539621
zygote	next	1.06302310685
zygote	now	1.50993575857
zygote	next	1.39692515348
zygote	now	0.933607920083
zygote	next	1.23607884504
zygote	now	1.525245105
zygote	next	1.7025602461
zygote	now	1.69232027677
zygote	next	1.50717260168
zygote	now	1.74057318666
zygote	next	1.41359333031
zygote	now	2.01735334937
zygote	next	1.94984240758
zygote	now	2.62143147429
zygote	next	2.0500526375
zygote	now	2.38519680564
zygote	next	1.88379003455
zygote	now	2.20520266757
zygote	next	2.099420624
zygote	now	0.828246093982
zygote	next	0.721856107196
zygote	now	1.64456371441
zygote	next	1.64262701037
zygote	now	1.87457064884
zygote	next	1.88439486286
zygote	now	0.895928828212
zygote	next	1.2410402393
zygote	now	1.81964535188
zygote	next	2.00715037967
zygote	now	1.44983707411
zygote	next	1.57247927885
zygote	now	2.32223084524
zygote	next	2.63334102262
zygote	now	0.816974137097
zygote	next	0.825709353643
