stage	type	level
MII	Normal	0.67
MII	Normal	1.0
MII	Normal	1.0
MII	Normal	1.0
MII	Normal	0.45
MII	Normal	0.64
MII	Normal	1.0
MII	Normal	1.0
MII	Change	0.4
MII	Normal	0.78
MII	Normal	1.0
MII	Normal	0.33
MII	Normal	1.0
MII	Normal	0.33
MII	Normal	0.67
MII	Normal	0.24
MII	Change	0.75
MII	Normal	0.5
MII	Normal	0.5
MII	Normal	0.19
MII	Normal	0.71
MII	Normal	0.88
MII	Normal	0.58
MII	Normal	0.53
MII	Normal	0.5
MII	Normal	0.2
MII	Normal	0.4
MII	Normal	0.2
MII	Normal	1.0
MII	Normal	0.16
MII	Change	0.25
MII	Normal	0.67
MII	Normal	0.29
MII	Normal	0.65
MII	Normal	0.22
MII	Change	0.5
MII	Normal	0.51
MII	Normal	0.56
MII	Normal	0.4
MII	Normal	0.67
MII	Normal	0.91
MII	Normal	1.0
MII	Normal	0.44
MII	Normal	0.17
MII	Normal	0.74
MII	Normal	0.33
MII	Normal	0.16
MII	Normal	1.0
MII	Normal	1.0
MII	Normal	0.25
MII	Normal	0.2
MII	Normal	0.23
MII	Normal	1.0
MII	Normal	0.46
MII	Normal	0.39
MII	Normal	0.23
MII	Normal	0.63
MII	Normal	1.0
MII	Normal	0.85
MII	Normal	1.0
MII	Normal	1.0
MII	Normal	0.2
MII	Normal	0.67
MII	Normal	0.9
MII	Change	0.25
MII	Normal	0.83
MII	Normal	0.12
MII	Normal	0.32
MII	Change	0.2
MII	Normal	1.0
MII	Normal	0.67
MII	Normal	0.53
MII	Normal	0.22
MII	Normal	0.33
MII	Normal	0.5
MII	Normal	1.0
MII	Normal	0.73
MII	Normal	0.6
MII	Normal	0.15
MII	Normal	0.84
MII	Change	0.54
MII	Normal	0.5
MII	Normal	0.58
MII	Normal	0.18
MII	Normal	0.43
MII	Normal	0.5
MII	Normal	0.75
MII	Normal	0.25
MII	Normal	0.78
MII	Normal	0.73
MII	Normal	1.0
MII	Normal	1.0
MII	Normal	0.46
MII	Normal	0.66
MII	Normal	1.0
MII	Normal	0.22
MII	Change	0.26
MII	Normal	0.32
MII	Normal	0.84
MII	Normal	0.67
MII	Normal	1.0
MII	Normal	1.0
MII	Normal	0.85
MII	Normal	0.83
MII	Normal	0.18
MII	Normal	0.78
MII	Normal	0.22
MII	Normal	0.8
MII	Normal	0.38
MII	Normal	0.67
MII	Normal	1.0
MII	Normal	0.64
MII	Normal	1.0
MII	Normal	0.67
MII	Normal	0.71
MII	Normal	0.5
MII	Change	0.5
MII	Normal	0.17
MII	Normal	0.83
MII	Change	0.29
MII	Normal	1.0
MII	Normal	0.23
MII	Change	0.33
MII	Normal	0.5
MII	Normal	0.73
MII	Normal	0.77
MII	Change	0.5
MII	Normal	0.31
MII	Change	0.88
MII	Normal	0.45
MII	Normal	0.43
MII	Change	0.59
MII	Normal	0.67
MII	Normal	0.37
MII	Normal	1.0
MII	Normal	0.15
MII	Normal	0.35
MII	Change	0.58
MII	Change	1.0
MII	Normal	1.0
MII	Change	0.16
MII	Normal	0.25
MII	Normal	0.86
MII	Normal	0.17
MII	Normal	0.82
MII	Normal	0.58
MII	Normal	0.67
MII	Change	0.47
MII	Normal	0.52
MII	Normal	0.4
MII	Normal	1.0
MII	Normal	1.0
MII	Normal	0.2
MII	Normal	0.75
MII	Normal	0.67
MII	Normal	0.19
MII	Normal	0.23
MII	Normal	0.27
MII	Normal	0.67
MII	Normal	0.75
MII	Normal	0.62
MII	Normal	1.0
MII	Normal	0.5
MII	Normal	0.67
MII	Normal	0.45
MII	Normal	0.84
MII	Normal	0.58
MII	Change	0.4
MII	Normal	0.67
MII	Normal	1.0
MII	Normal	0.29
MII	Normal	0.73
MII	Normal	0.64
MII	Normal	0.6
MII	Normal	0.42
MII	Normal	1.0
MII	Normal	0.88
MII	Normal	0.67
MII	Normal	1.0
MII	Normal	0.67
MII	Normal	0.22
MII	Normal	0.53
MII	Change	1.0
MII	Normal	0.33
MII	Normal	0.56
MII	Change	0.53
MII	Normal	0.62
MII	Normal	0.67
MII	Change	0.25
MII	Normal	0.74
MII	Normal	1.0
MII	Change	0.62
MII	Change	1.0
MII	Normal	0.25
MII	Normal	0.16
MII	Normal	0.88
MII	Normal	0.67
MII	Normal	0.21
MII	Normal	0.29
MII	Normal	0.67
MII	Normal	0.97
MII	Normal	0.26
MII	Normal	0.37
MII	Normal	0.47
MII	Normal	0.4
MII	Normal	0.83
MII	Normal	0.67
MII	Normal	1.0
MII	Normal	0.42
MII	Normal	0.89
MII	Normal	0.79
MII	Normal	0.83
MII	Normal	0.28
MII	Normal	0.2
MII	Change	0.42
MII	Normal	0.67
MII	Normal	0.58
MII	Normal	0.67
MII	Normal	1.0
MII	Change	0.67
MII	Change	1.0
MII	Normal	0.24
MII	Normal	0.67
MII	Normal	0.71
MII	Normal	0.19
MII	Normal	1.0
MII	Normal	0.77
MII	Normal	0.29
MII	Normal	0.68
MII	Normal	0.67
MII	Normal	0.42
MII	Change	0.67
MII	Normal	0.4
MII	Normal	0.73
MII	Normal	0.19
MII	Normal	0.33
MII	Normal	0.84
MII	Normal	0.67
MII	Normal	0.58
MII	Normal	0.22
MII	Normal	0.75
MII	Normal	0.66
MII	Normal	1.0
MII	Normal	0.82
MII	Normal	0.39
MII	Normal	1.0
MII	Normal	1.0
MII	Normal	0.61
MII	Normal	0.67
MII	Normal	0.33
MII	Normal	0.76
MII	Normal	0.67
MII	Normal	0.67
MII	Normal	0.48
MII	Normal	0.32
MII	Change	1.0
MII	Normal	0.33
MII	Normal	0.33
MII	Normal	0.4
MII	Normal	1.0
MII	Normal	0.73
MII	Normal	0.35
MII	Normal	0.5
MII	Normal	0.33
MII	Normal	0.78
MII	Normal	0.24
MII	Normal	1.0
MII	Normal	0.46
MII	Normal	0.3
MII	Normal	0.25
MII	Normal	0.22
MII	Normal	0.87
MII	Normal	0.67
MII	Normal	0.23
MII	Normal	0.53
MII	Normal	0.4
MII	Normal	0.29
MII	Normal	0.58
MII	Normal	0.24
MII	Normal	0.31
MII	Change	0.21
MII	Normal	0.54
MII	Normal	0.58
MII	Normal	1.0
MII	Change	0.51
MII	Normal	0.5
MII	Change	0.5
MII	Normal	0.5
MII	Normal	0.25
MII	Change	0.5
MII	Normal	0.5
MII	Normal	1.0
MII	Normal	0.44
MII	Normal	0.51
MII	Change	0.28
MII	Normal	0.88
MII	Normal	1.0
MII	Normal	0.75
MII	Normal	1.0
MII	Normal	0.67
MII	Normal	1.0
MII	Normal	1.0
MII	Normal	0.77
MII	Normal	0.38
MII	Normal	0.66
MII	Normal	1.0
MII	Normal	0.56
MII	Normal	1.0
MII	Normal	0.66
MII	Normal	1.0
MII	Normal	1.0
MII	Change	1.0
MII	Normal	0.5
MII	Normal	0.38
MII	Normal	0.7
MII	Normal	1.0
MII	Normal	0.18
MII	Normal	0.55
MII	Normal	0.27
MII	Normal	0.67
MII	Change	0.37
MII	Normal	0.8
MII	Normal	0.69
MII	Normal	0.76
MII	Normal	0.75
MII	Normal	0.67
MII	Normal	1.0
MII	Normal	0.22
MII	Normal	0.38
MII	Normal	0.58
MII	Normal	0.67
MII	Normal	0.5
MII	Normal	0.3
MII	Normal	0.46
MII	Normal	0.49
MII	Normal	1.0
MII	Normal	0.69
MII	Normal	0.75
MII	Normal	0.67
MII	Normal	0.29
MII	Normal	0.71
MII	Normal	0.25
MII	Normal	0.21
MII	Normal	0.5
MII	Normal	0.58
MII	Normal	0.45
MII	Normal	0.5
MII	Normal	0.64
MII	Normal	0.41
MII	Normal	0.33
MII	Normal	1.0
MII	Normal	0.87
MII	Change	0.33
MII	Normal	0.5
MII	Normal	0.45
MII	Normal	0.27
MII	Normal	0.94
MII	Normal	0.17
MII	Normal	0.19
MII	Normal	1.0
MII	Normal	0.67
MII	Normal	0.28
MII	Normal	0.92
MII	Normal	0.85
MII	Normal	0.29
MII	Normal	0.4
MII	Normal	0.67
MII	Normal	0.25
MII	Normal	0.5
MII	Normal	0.25
MII	Normal	0.83
MII	Normal	0.36
MII	Normal	0.5
MII	Normal	0.46
MII	Normal	0.35
MII	Normal	0.75
MII	Change	0.5
MII	Normal	1.0
MII	Normal	0.74
MII	Normal	0.42
MII	Normal	0.67
MII	Normal	0.45
MII	Normal	0.82
MII	Normal	0.25
MII	Normal	1.0
MII	Normal	0.33
MII	Normal	0.67
MII	Normal	1.0
MII	Normal	0.9
MII	Normal	0.55
MII	Normal	0.37
MII	Normal	0.25
MII	Normal	0.22
MII	Normal	0.18
MII	Normal	1.0
MII	Change	0.33
MII	Normal	0.18
MII	Normal	0.29
MII	Normal	0.67
MII	Normal	0.67
MII	Normal	0.5
MII	Normal	0.3
MII	Normal	0.86
MII	Normal	0.24
MII	Change	0.22
MII	Normal	1.0
MII	Normal	1.0
MII	Normal	0.67
MII	Change	1.0
MII	Normal	0.29
MII	Normal	0.39
MII	Normal	0.8
MII	Normal	0.5
MII	Normal	0.67
MII	Normal	0.33
MII	Normal	0.32
MII	Normal	0.39
MII	Normal	1.0
MII	Normal	0.31
MII	Normal	0.53
MII	Normal	0.77
MII	Normal	0.32
MII	Normal	1.0
MII	Normal	0.33
MII	Normal	0.29
MII	Normal	1.0
MII	Change	0.87
MII	Normal	0.67
MII	Normal	0.81
MII	Change	1.0
MII	Normal	0.43
MII	Normal	0.29
MII	Normal	0.88
MII	Normal	0.94
MII	Change	0.5
MII	Normal	0.88
MII	Normal	0.21
MII	Normal	0.83
MII	Normal	1.0
MII	Normal	1.0
MII	Normal	0.4
MII	Normal	0.33
MII	Normal	0.75
MII	Normal	0.67
MII	Normal	0.16
MII	Normal	1.0
MII	Normal	0.83
MII	Normal	1.0
MII	Normal	0.83
MII	Normal	1.0
zygote	Normal	0.5
zygote	Normal	0.75
zygote	Normal	1.0
zygote	Normal	0.76
zygote	Change	0.5
zygote	Normal	1.0
zygote	Change	0.4
zygote	Normal	1.0
zygote	Normal	0.67
zygote	Normal	1.0
zygote	Normal	1.0
zygote	Normal	0.8
zygote	Change	0.67
zygote	Normal	0.68
zygote	Normal	1.0
zygote	Normal	1.0
zygote	Normal	0.82
zygote	Normal	0.37
zygote	Normal	0.5
zygote	Normal	1.0
zygote	Normal	0.58
zygote	Normal	1.0
zygote	Normal	1.0
zygote	Normal	1.0
zygote	Normal	0.64
zygote	Normal	0.5
zygote	Normal	0.33
zygote	Normal	1.0
zygote	Normal	1.0
zygote	Normal	0.73
zygote	Normal	0.5
zygote	Normal	0.6
zygote	Normal	0.88
zygote	Normal	0.67
zygote	Normal	1.0
zygote	Normal	0.67
zygote	Normal	1.0
zygote	Normal	0.35
