stage	type	level	num
MII	up	0.5	1
MII	up	0.22	1
MII	down	1.0	1
MII	up	0.67	1
MII	down	0.54	1
MII	down	0.25	1
MII	down	0.73	1
MII	up	0.17	1
MII	up	0.78	1
MII	down	0.75	1
MII	down	0.75	1
MII	down	0.33	1
MII	down	0.5	1
MII	down	0.53	1
MII	down	1.0	1
MII	down	0.21	1
MII	up	0.71	1
MII	down	0.22	1
MII	up	5.82	13
MII	down	0.54	1
MII	down	0.33	1
MII	down	0.33	1
MII	down	0.29	1
MII	up	1.71	4
MII	up	1.0	1
MII	up	0.8	2
MII	down	0.5	1
MII	up	0.66	1
MII	down	0.62	1
MII	down	0.4	1
MII	down	1.09	2
MII	down	1.0	1
MII	down	0.67	1
MII	up	0.66	1
MII	down	0.75	1
MII	down	1.0	1
MII	down	0.8	1
MII	down	0.86	1
MII	up	0.23	1
MII	up	0.45	1
MII	down	0.19	1
MII	down	0.77	1
MII	down	0.53	1
MII	down	0.75	1
MII	down	0.53	1
MII	down	2.0	2
MII	up	1.84	2
MII	down	0.47	2
MII	down	0.32	1
MII	down	0.58	1
MII	down	0.84	1
MII	down	0.94	1
MII	down	0.67	1
MII	up	0.33	1
MII	down	0.19	1
MII	up	0.67	1
MII	up	0.75	1
MII	up	0.33	1
MII	down	0.2	1
MII	down	0.32	1
MII	down	0.16	1
MII	up	0.79	1
MII	up	0.55	2
MII	up	0.16	1
MII	down	0.28	1
MII	down	0.19	1
MII	down	0.24	1
MII	up	0.75	1
MII	down	0.6	1
MII	down	0.61	1
MII	down	1.0	1
MII	down	0.4	1
MII	up	0.38	1
MII	up	0.23	1
MII	down	2.14	5
MII	down	0.25	1
MII	up	1.0	1
MII	down	0.4	1
MII	down	0.45	1
MII	down	1.0	1
MII	down	0.21	1
MII	down	0.25	1
MII	down	0.5	1
MII	up	0.46	1
MII	down	0.39	1
MII	up	1.0	1
MII	down	0.87	1
MII	down	1.0	1
MII	down	0.75	3
MII	down	0.75	1
MII	up	0.78	1
MII	down	1.0	1
MII	down	0.92	1
MII	down	1.17	2
MII	down	0.73	1
MII	down	0.83	1
MII	up	1.67	2
MII	down	0.69	1
MII	up	0.24	1
MII	down	0.25	1
MII	down	0.18	1
MII	down	0.2	1
MII	down	0.47	2
MII	up	0.5	1
MII	down	0.27	1
MII	up	1.0	1
MII	down	0.67	1
MII	down	1.39	2
MII	down	0.67	1
MII	down	0.91	1
MII	down	0.67	1
MII	down	1.0	1
MII	down	1.0	1
MII	down	1.0	1
MII	up	0.33	1
