stage	type	logexpr
MII	NonEdit	3.7929939438
MII	NonEdit	2.94602193615
MII	NonEdit	4.75127717331
MII	NonEdit	3.6570713992
MII	NonEdit	2.23799430382
MII	NonEdit	2.72397604232
MII	NonEdit	3.32868045082
MII	NonEdit	3.63234613898
MII	NonEdit	1.20315246794
MII	NonEdit	1.17644332162
MII	NonEdit	2.8978051726
MII	Edit	1.80351839461
MII	NonEdit	5.15743905126
MII	NonEdit	3.24398591128
MII	NonEdit	1.30074736595
MII	NonEdit	0.983784880837
MII	NonEdit	0.72090338823
MII	NonEdit	2.2486451414
MII	NonEdit	4.97929597434
MII	NonEdit	3.80808370159
MII	NonEdit	0.896516504175
MII	NonEdit	3.06692206338
MII	NonEdit	2.39142346668
MII	NonEdit	4.25571483226
MII	NonEdit	3.84191808728
MII	NonEdit	2.02068096271
MII	NonEdit	3.10745699463
MII	Edit	1.86971384401
MII	NonEdit	0.701918598947
MII	NonEdit	3.31354943847
MII	NonEdit	1.6468107655
MII	Edit	0.9712787922
MII	Edit	1.47431210655
MII	NonEdit	0.912888952378
MII	NonEdit	2.44310327109
MII	NonEdit	4.86142350894
MII	NonEdit	3.48434296275
MII	NonEdit	2.49215531462
MII	NonEdit	3.30008339229
MII	NonEdit	3.98536268252
MII	NonEdit	8.17316931279
MII	NonEdit	5.69409570907
MII	NonEdit	1.37786392464
MII	NonEdit	5.44300628187
MII	NonEdit	0.71253305436
MII	NonEdit	1.88571418535
MII	NonEdit	1.02133159645
MII	NonEdit	2.23820869205
MII	NonEdit	3.88246854318
MII	NonEdit	2.16061591647
MII	NonEdit	5.27602574427
MII	NonEdit	2.19371620798
MII	NonEdit	1.92561268506
MII	NonEdit	3.84020471764
MII	NonEdit	1.99715308503
MII	NonEdit	0.976324120123
MII	NonEdit	4.67666259769
MII	NonEdit	3.93040894342
MII	NonEdit	2.85801498944
MII	NonEdit	2.88951583614
MII	NonEdit	3.3698786984
MII	NonEdit	1.43652396499
MII	NonEdit	1.4913995942
MII	NonEdit	2.20340543641
MII	Edit	4.03038542876
MII	NonEdit	2.12749333808
MII	NonEdit	2.00378949344
MII	NonEdit	1.78024509924
MII	NonEdit	1.54398163696
MII	NonEdit	3.36195053483
MII	NonEdit	2.50929840412
MII	NonEdit	3.66262531047
MII	NonEdit	4.27179873695
MII	NonEdit	3.78154067397
MII	NonEdit	1.79161612562
MII	NonEdit	2.21523365819
MII	NonEdit	2.24753739121
MII	NonEdit	2.78245241568
MII	NonEdit	1.72777723778
MII	NonEdit	3.44436861456
MII	NonEdit	2.28871535128
MII	NonEdit	0.809667196721
MII	NonEdit	0.735186034406
MII	NonEdit	1.32184383611
MII	NonEdit	2.17425841801
MII	NonEdit	4.4587990006
MII	NonEdit	3.17914490158
MII	NonEdit	7.9535889602
MII	NonEdit	1.94262905787
MII	NonEdit	3.05360015788
MII	NonEdit	3.21168201133
MII	NonEdit	1.46910400652
MII	NonEdit	1.04059114985
MII	NonEdit	1.69558625045
MII	NonEdit	3.58605460981
MII	NonEdit	2.60712428251
MII	NonEdit	4.13874096094
MII	NonEdit	3.170374419
MII	NonEdit	6.33497623427
MII	NonEdit	1.57386461935
MII	NonEdit	1.7156232878
MII	NonEdit	3.10774759678
MII	NonEdit	3.7206687766
MII	NonEdit	0.966439972081
MII	NonEdit	2.83756269543
MII	NonEdit	2.55122483638
MII	NonEdit	2.62859565376
MII	NonEdit	1.89783273082
MII	NonEdit	3.32521586064
MII	NonEdit	3.19041873552
MII	NonEdit	2.47972658975
MII	NonEdit	2.19364595949
MII	NonEdit	3.59577957978
MII	Edit	1.49183161116
MII	NonEdit	2.98727662511
MII	NonEdit	3.75753993703
MII	Edit	4.71226519654
MII	NonEdit	1.94455494547
MII	NonEdit	3.6477136505
MII	NonEdit	2.31958280981
MII	NonEdit	2.37744114241
MII	NonEdit	2.28612638855
MII	NonEdit	2.24512122074
MII	NonEdit	4.61854040493
MII	NonEdit	2.55924078684
MII	NonEdit	1.7256802062
MII	NonEdit	1.32580894836
MII	NonEdit	4.37918259422
MII	NonEdit	2.71254010638
MII	NonEdit	3.66264584229
MII	NonEdit	0.777548069856
MII	NonEdit	2.97199270667
MII	NonEdit	3.46927027454
MII	NonEdit	2.19396371093
MII	NonEdit	3.89543213491
MII	NonEdit	0.756098505267
MII	NonEdit	1.80575605837
MII	NonEdit	3.11755602341
MII	NonEdit	1.3599760528
MII	NonEdit	1.17823644722
MII	NonEdit	3.84349788167
MII	NonEdit	0.789188910898
MII	NonEdit	0.975668458993
MII	NonEdit	1.79395871578
MII	NonEdit	5.06447933257
MII	NonEdit	4.37903466319
MII	NonEdit	2.72548401189
MII	NonEdit	1.36298479168
MII	NonEdit	4.51727296221
MII	NonEdit	2.5575915861
MII	NonEdit	0.965469391998
MII	NonEdit	4.91248575379
MII	NonEdit	2.0438648809
MII	NonEdit	4.39003324604
MII	NonEdit	1.03444703119
MII	NonEdit	2.43607523477
MII	NonEdit	1.11398682577
MII	NonEdit	1.10856591985
MII	NonEdit	5.47707842562
MII	NonEdit	3.41856239988
MII	NonEdit	2.54651118349
MII	NonEdit	0.996860070084
MII	NonEdit	4.87843634671
MII	NonEdit	3.91383735849
MII	NonEdit	2.53429187497
MII	NonEdit	0.708572594763
MII	NonEdit	3.59798326829
MII	NonEdit	2.0849326877
MII	NonEdit	4.7666595857
MII	NonEdit	2.60423663645
MII	NonEdit	0.964631271168
MII	NonEdit	4.3416823906
MII	NonEdit	2.89071058938
MII	NonEdit	4.56684922793
MII	NonEdit	1.59048136711
MII	NonEdit	1.161768605
MII	NonEdit	1.386931658
MII	NonEdit	2.61059906442
MII	NonEdit	1.2851527113
MII	NonEdit	1.33983934337
MII	NonEdit	3.13476786524
MII	NonEdit	4.70636302895
MII	NonEdit	2.82840769777
MII	NonEdit	0.751571736947
MII	NonEdit	4.41375541092
MII	NonEdit	0.802073331777
MII	NonEdit	5.82687877728
MII	NonEdit	2.8522832924
MII	NonEdit	2.46478897287
MII	NonEdit	3.6559817088
MII	NonEdit	4.98209863595
MII	NonEdit	2.2016337316
MII	NonEdit	1.63358793883
MII	NonEdit	2.73901901205
MII	NonEdit	1.35785373349
MII	NonEdit	1.85704927058
MII	NonEdit	1.74151650025
MII	NonEdit	1.34527703502
MII	NonEdit	2.16431793288
MII	NonEdit	2.62286987399
MII	NonEdit	3.90688985332
MII	NonEdit	1.71958296392
MII	NonEdit	2.75659906632
MII	NonEdit	3.81426242585
MII	NonEdit	3.42840066103
MII	NonEdit	1.25982086002
MII	Edit	3.82990798533
MII	NonEdit	1.26812718919
MII	NonEdit	2.29125211673
MII	NonEdit	1.32889562429
MII	NonEdit	2.63695512152
MII	NonEdit	1.19062917273
MII	NonEdit	1.32886120366
MII	NonEdit	1.20020270643
MII	NonEdit	1.88573390884
MII	NonEdit	1.23751589176
MII	NonEdit	3.58437135283
MII	NonEdit	3.43723354233
MII	NonEdit	1.91318770491
MII	NonEdit	3.5649843402
MII	NonEdit	2.71784210356
MII	Edit	1.559926188
MII	NonEdit	1.49213751029
MII	NonEdit	1.43798270247
MII	NonEdit	5.39670915695
MII	NonEdit	2.53655779681
MII	NonEdit	4.15110919484
MII	NonEdit	5.83854061452
MII	NonEdit	0.933839841514
MII	NonEdit	3.81494586547
MII	Edit	1.03840570446
MII	NonEdit	7.99006201844
MII	NonEdit	3.08398579543
MII	NonEdit	0.713013531316
MII	NonEdit	5.65234531027
MII	NonEdit	3.49708315336
MII	NonEdit	1.35437532572
MII	NonEdit	3.65202873032
MII	NonEdit	1.47325844532
MII	NonEdit	3.73694078132
MII	NonEdit	3.09048775409
MII	NonEdit	1.73447104694
MII	NonEdit	1.48677297969
MII	NonEdit	2.26935090479
MII	NonEdit	1.94662275224
MII	NonEdit	1.61196072746
MII	NonEdit	2.0607504464
MII	NonEdit	2.5636254045
MII	NonEdit	2.93695843798
MII	NonEdit	4.35543237134
MII	NonEdit	1.88629813937
MII	NonEdit	1.99335519127
MII	NonEdit	5.46522913339
MII	NonEdit	2.11598077827
MII	NonEdit	1.93531709742
MII	NonEdit	2.73888973625
MII	NonEdit	2.99589725994
MII	NonEdit	2.12819360989
MII	NonEdit	3.91546906095
MII	NonEdit	3.57787805857
MII	NonEdit	1.42447607316
MII	NonEdit	4.87150348648
MII	NonEdit	3.68013382232
MII	NonEdit	2.00030633877
MII	NonEdit	4.092511216
MII	NonEdit	3.7580906351
MII	NonEdit	1.07786861873
MII	NonEdit	2.89644770632
MII	NonEdit	1.39799316251
MII	NonEdit	2.70285003699
MII	NonEdit	2.20628342182
MII	NonEdit	4.39740896763
MII	NonEdit	3.55118799181
MII	NonEdit	1.93654212006
MII	NonEdit	1.58774021062
MII	NonEdit	4.11191103105
MII	NonEdit	2.18235794793
MII	NonEdit	2.50187028363
MII	NonEdit	4.38694700975
MII	NonEdit	4.55066120049
MII	NonEdit	2.37080433197
MII	NonEdit	5.55157490577
MII	NonEdit	0.752693574238
MII	NonEdit	0.717566585101
MII	NonEdit	3.59472535579
MII	NonEdit	1.01440062518
MII	NonEdit	0.735890528099
MII	NonEdit	3.90737019789
MII	NonEdit	3.18970650677
MII	NonEdit	3.95404555899
MII	NonEdit	1.09613589159
MII	NonEdit	3.09268201763
MII	NonEdit	1.84795705125
MII	NonEdit	4.45959166004
MII	NonEdit	3.95342787005
MII	NonEdit	0.834351560383
MII	NonEdit	3.47416589536
MII	NonEdit	6.48698971358
MII	NonEdit	0.70938463665
MII	NonEdit	1.30928911901
MII	NonEdit	1.4991586529
MII	NonEdit	1.86934223064
MII	NonEdit	0.998327757266
MII	NonEdit	1.65579846081
MII	NonEdit	0.779622997496
MII	NonEdit	0.902045752204
MII	NonEdit	3.69604869359
MII	NonEdit	2.98304715658
MII	NonEdit	2.13086039069
MII	NonEdit	5.73720113198
MII	NonEdit	1.19953698059
MII	NonEdit	8.62245190189
MII	NonEdit	2.78051968882
MII	NonEdit	1.22272782425
MII	Edit	3.79716419007
MII	NonEdit	3.93716819852
MII	NonEdit	1.4540231006
MII	NonEdit	1.4801398324
MII	NonEdit	2.44890807331
MII	NonEdit	2.36839155995
MII	NonEdit	3.09089698823
MII	NonEdit	1.78217030648
MII	NonEdit	1.30219782277
MII	NonEdit	2.84383322357
MII	NonEdit	0.911358588829
MII	NonEdit	3.18394477793
MII	NonEdit	3.5877848266
MII	NonEdit	1.97198020974
MII	NonEdit	2.14972641151
MII	NonEdit	1.63134812114
MII	NonEdit	2.2882680921
MII	NonEdit	0.941139429844
MII	NonEdit	4.4570796066
MII	NonEdit	2.33714399523
MII	NonEdit	2.67054907528
MII	NonEdit	3.49973567882
MII	NonEdit	2.96678738283
MII	NonEdit	2.32275137965
MII	NonEdit	2.98489880285
MII	NonEdit	6.13377107536
MII	NonEdit	1.35166150763
MII	NonEdit	1.68742620355
MII	NonEdit	2.47162720023
MII	NonEdit	3.2389372422
MII	NonEdit	2.29773133253
MII	NonEdit	2.70688285335
MII	NonEdit	5.53669626827
MII	NonEdit	1.29875466277
MII	NonEdit	4.12153324403
MII	NonEdit	3.9621912672
MII	NonEdit	1.80727186086
MII	NonEdit	6.30099127814
MII	NonEdit	1.38449524368
MII	NonEdit	4.13379281359
MII	NonEdit	1.92703746066
MII	Edit	2.61626380547
MII	NonEdit	0.734279526916
MII	NonEdit	0.711247379154
MII	NonEdit	5.28541954611
MII	NonEdit	1.14949233101
MII	NonEdit	0.912318854402
MII	NonEdit	3.85848719849
