stage	type	logexpr
zygote	now	1.10228221292
zygote	before	1.79748140104
zygote	now	0.90472814203
zygote	before	1.04204546451
zygote	now	1.34231373755
zygote	before	0.69839339508
zygote	now	1.8086198639
zygote	before	2.61881088956
zygote	now	1.24172224338
zygote	before	1.12016827988
zygote	now	0.814541465577
zygote	before	1.03439016192
zygote	now	1.43426990786
zygote	before	1.65410721656
zygote	now	1.13715969828
zygote	before	2.12080419002
zygote	now	1.74756721844
zygote	before	2.22103550054
zygote	now	3.26389507856
zygote	before	3.73700034675
zygote	now	1.74019947261
zygote	before	2.95045767254
zygote	now	1.89593928814
zygote	before	2.30976227529
zygote	now	1.3557037017
zygote	before	1.61962385909
zygote	now	1.40602835861
zygote	before	1.17028778093
zygote	now	1.59043856242
zygote	before	2.08605338519
zygote	now	1.28282372518
zygote	before	1.59755154868
zygote	now	1.86336669808
zygote	before	2.09499126564
zygote	now	2.33399751602
zygote	before	3.38973864707
zygote	now	1.89538047281
zygote	before	2.66393111046
zygote	now	2.7399299325
zygote	before	3.35214718369
zygote	now	1.32885326027
zygote	before	2.62053687998
zygote	now	0.78619571386
zygote	before	1.57752610404
zygote	now	1.46998962087
zygote	before	1.7597354642
zygote	now	4.67829052774
zygote	before	3.20189648833
zygote	now	1.00185539621
zygote	before	1.1787042259
zygote	now	0.749210828696
zygote	before	1.23046477271
zygote	now	1.50993575857
zygote	before	1.85541635184
zygote	now	1.69232027677
zygote	before	2.66427941873
zygote	now	1.74057318666
zygote	before	2.18440047671
zygote	now	2.01735334937
zygote	before	3.30964114698
zygote	now	2.62143147429
zygote	before	2.86418177481
zygote	now	0.851794876493
zygote	before	2.00250650021
zygote	now	2.38519680564
zygote	before	3.10123577899
zygote	now	2.20520266757
zygote	before	2.04559903998
zygote	now	0.828246093982
zygote	before	0.841312842991
zygote	now	1.64456371441
zygote	before	2.82840769777
zygote	now	1.87457064884
zygote	before	2.19246326023
zygote	now	0.91531025136
zygote	before	1.23555867689
zygote	now	0.895928828212
zygote	before	1.15368426816
zygote	now	1.81964535188
zygote	before	2.78792674112
zygote	now	1.44983707411
zygote	before	1.65054530622
zygote	now	2.32223084524
zygote	before	2.2882680921
zygote	now	0.816974137097
zygote	before	1.12335693243
zygote	now	1.48544941265
zygote	before	1.49967661642
zygote	now	3.08576948475
zygote	before	2.58250209517
zygote	now	1.07497170583
zygote	before	1.17777460891
zygote	now	1.11144295582
zygote	before	0.976320353183
zygote	now	2.42345668747
zygote	before	2.34252766093
zygote	now	0.694651049182
zygote	before	1.0090996042
zygote	now	0.795040191365
zygote	before	1.35785373349
zygote	now	2.79460091645
zygote	before	2.86920486708
zygote	now	1.11926749359
zygote	before	1.61430604383
zygote	now	2.32066859638
zygote	before	2.39736604187
zygote	now	2.83803698569
zygote	before	3.10275091376
zygote	now	1.5299660418
zygote	before	1.90751675073
zygote	now	1.70898637076
zygote	before	1.82729230075
zygote	now	2.24388655259
zygote	before	2.2413562887
zygote	now	1.2256413368
zygote	before	1.90938990065
zygote	now	1.43779988299
zygote	before	1.75954786809
zygote	now	1.02533884
zygote	before	1.2299562907
zygote	now	1.48411729041
zygote	before	2.06004080861
zygote	now	1.48475865239
zygote	before	1.85889149931
zygote	now	1.26388941085
zygote	before	1.41026964332
zygote	now	0.737848042538
zygote	before	0.853018608516
zygote	now	1.83263906209
zygote	before	2.60712428251
zygote	now	0.819524292238
zygote	before	1.47357236923
zygote	now	2.34251709159
zygote	before	2.59284883008
zygote	now	4.25734454266
zygote	before	5.20898329419
zygote	now	1.92996512876
zygote	before	1.95721175888
zygote	now	2.92333898434
zygote	before	1.86969380199
zygote	now	1.30310295148
zygote	before	1.25887567634
zygote	now	1.71136072596
zygote	before	1.34869113912
zygote	now	1.26403915269
zygote	before	1.25927599831
zygote	now	2.52610457364
zygote	before	3.12307392419
zygote	now	1.67795600456
zygote	before	1.57608379709
zygote	now	3.46709435469
zygote	before	3.93040894342
zygote	now	2.2756947672
zygote	before	1.85324803147
zygote	now	1.95297087763
zygote	before	1.71383035966
zygote	now	5.73667229248
zygote	before	6.96212982145
zygote	now	0.958464771969
zygote	before	1.27219297736
zygote	now	1.10074334968
zygote	before	1.31228715312
zygote	now	1.35044436073
zygote	before	1.49446916296
zygote	now	1.05427370151
zygote	before	1.37029200364
zygote	now	2.19237952567
zygote	before	2.73841773772
zygote	now	1.5857536413
zygote	before	2.24836647137
zygote	now	4.20845567944
zygote	before	3.54734469122
early	now	0.807907875765
early	before	0.900892789694
early	now	1.4725729697
early	before	0.981879950835
early	now	1.74264975401
early	before	1.8086198639
early	now	1.16464032493
early	before	1.28838380326
early	now	4.75648255591
early	before	4.85067778724
early	now	1.25463549993
early	before	1.28570577501
early	now	0.864584720752
early	before	1.10380544751
early	now	3.22642327111
early	before	3.67232061006
early	now	1.32998059047
early	before	1.31161661129
early	now	3.48486121744
early	before	3.26389507856
early	now	2.74673230769
early	before	2.64957327134
early	now	2.1350985512
early	before	2.34460956425
early	now	1.26141401151
early	before	1.10140837597
early	now	0.973215340606
early	before	1.19362242346
early	now	2.94001869779
early	before	3.86782657389
early	now	1.25462124084
early	before	1.51164645681
early	now	2.09372159465
early	before	2.53337136418
early	now	1.19656140765
early	before	1.54826651616
early	now	1.07227515793
early	before	1.44070915356
early	now	1.41717995269
early	before	1.18421795589
early	now	0.997627371288
early	before	1.28282372518
early	now	1.35225142014
early	before	1.19729254097
early	now	1.55115180416
early	before	2.42142534738
early	now	1.95635399319
early	before	1.63720676416
