stage	type	logexpr	level	num
MII	Change	1.73594368307	0.5	1
MII	Normal	3.0502441328	0.22	1
MII	Normal	0.235365359814	0.67	1
MII	Normal	2.56530314103	1.0	1
MII	Normal	1.28135875518	0.49	1
MII	Normal	1.12016827988	1.0	1
MII	Normal	1.64295198905	0.46	1
MII	Normal	1.45667826467	0.38	1
MII	Normal	0.853883271746	0.17	2
MII	Normal	3.35056351892	0.67	1
MII	Change	3.73700034675	0.54	1
MII	Change	1.3750109421	0.25	1
MII	Change	0.470845150068	0.42	1
MII	Normal	0.787038171974	1.0	1
MII	Normal	6.78758000921	0.73	1
MII	Normal	1.55662978706	0.17	1
MII	Normal	4.47665362661	0.78	1
MII	Normal	3.32476979821	0.75	1
MII	Normal	4.36159941236	0.75	1
MII	Normal	1.86697516097	0.33	1
MII	Change	2.08605338519	0.5	1
MII	Normal	3.02043464219	0.53	1
MII	Normal	1.69428995975	1.0	1
MII	Normal	0.919856367434	1.0	1
MII	Change	3.35214718369	0.21	1
MII	Change	1.08542910444	0.75	1
MII	Change	0.9712787922	0.4	1
MII	Normal	1.47431210655	0.71	1
MII	Change	2.95459252022	0.22	1
MII	Normal	0.130906325148	0.2	1
MII	Normal	5.6051032928	0.447692307692	13
MII	Change	0.715309766061	0.24	2
MII	Change	2.18440047671	0.54	1
MII	Normal	2.75631324224	0.33	1
MII	Change	1.80897705885	0.33	1
MII	Normal	2.77321352701	0.29	1
MII	Normal	3.64109578326	0.4275	4
MII	Normal	2.00432459915	1.0	1
MII	Normal	2.1623915575	0.4	2
MII	Normal	2.4380071971	0.5	1
MII	Normal	2.43914190442	0.66	1
MII	Normal	0.344809527479	0.67	1
MII	Normal	0.795798529738	0.67	1
MII	Change	0.849398509621	0.67	1
MII	Change	1.42204270642	0.33	1
MII	Change	1.65054530622	0.42	1
MII	Normal	1.80351839461	0.55	1
MII	Normal	3.87046532369	0.62	1
MII	Normal	3.76098381323	0.4	1
MII	Normal	4.03038542876	0.545	2
MII	Normal	0.0	0.33	1
MII	Change	0.876788699154	0.37	1
MII	Normal	3.04087770852	1.0	1
MII	Normal	2.43597897616	0.67	1
MII	Normal	6.38544900402	0.66	1
MII	Normal	2.72445490513	1.0	1
MII	Normal	3.36651276485	0.75	1
MII	Normal	2.81633643268	1.0	1
MII	Normal	1.13990777108	0.29	1
MII	Normal	5.71640908905	0.8	1
MII	Normal	0.721554835048	0.375	2
MII	Normal	0.964993273157	0.42	1
MII	Normal	3.81362044915	0.86	1
