stage	type	logexpr
zygote	before	1.79748140104
zygote	before	3.55758270567
zygote	before	2.43894124223
zygote	before	1.08074019669
zygote	before	0.0418901278627
zygote	before	0.0
zygote	before	2.28135430636
zygote	before	1.69905007112
zygote	before	2.89959024786
zygote	before	2.70494538615
zygote	before	0.0
zygote	before	1.78839381175
zygote	before	2.50929840412
zygote	before	0.0159992270601
zygote	before	2.48194393194
zygote	before	2.12508509379
zygote	before	1.57041429986
zygote	before	2.85167712856
zygote	before	1.12016827988
zygote	before	2.59204807868
zygote	before	1.17143824892
zygote	before	4.49286673495
zygote	before	1.92822758712
zygote	before	1.24470199454
zygote	before	4.38997496286
zygote	before	1.99674176546
zygote	before	3.09858214017
zygote	before	0.0800261536904
zygote	before	0.623853906814
zygote	before	1.39817105317
zygote	before	3.30964114698
zygote	before	1.45667826467
zygote	before	0.106380495302
zygote	before	1.84824534215
zygote	before	2.1542092069
zygote	before	1.39440636963
zygote	before	4.13155524379
zygote	before	1.23046477271
zygote	before	4.20569808389
zygote	before	3.22123703502
zygote	before	3.54924950303
zygote	before	3.25946867314
zygote	before	0.130667671085
zygote	before	1.33226311142
zygote	before	2.29161716456
zygote	before	0.0909516040892
zygote	before	1.49563071266
zygote	before	3.12461349588
zygote	before	1.37019292595
zygote	before	0.787038171974
zygote	before	2.19364595949
zygote	before	3.3346835776
zygote	before	2.18121826823
zygote	before	1.49446916296
zygote	before	1.6221645837
zygote	before	0.0932280136
zygote	before	2.66155939139
zygote	before	3.06478247673
zygote	before	0.0
zygote	before	0.0
zygote	before	0.27311092706
zygote	before	0.384190397829
zygote	before	3.10123577899
zygote	before	2.18218425889
zygote	before	0.204863076955
zygote	before	0.0
zygote	before	0.0
zygote	before	0.765700373242
zygote	before	2.12620823143
zygote	before	1.86697516097
zygote	before	2.08605338519
zygote	before	4.37226161165
zygote	before	2.59242234138
zygote	before	2.14419293078
zygote	before	1.8615000611
zygote	before	0.783951770878
zygote	before	1.60009439743
zygote	before	3.35214718369
zygote	before	4.1348080925
zygote	before	0.865721385899
zygote	before	1.15905493314
zygote	before	4.632581052
zygote	before	0.270170638367
zygote	before	0.0
zygote	before	1.60514872702
zygote	before	2.85033649086
zygote	before	3.73700034675
zygote	before	3.37172737548
zygote	before	2.27394690686
zygote	before	1.25061208558
zygote	before	1.1787042259
zygote	before	2.32755181435
zygote	before	2.53325227072
zygote	before	3.60880487093
zygote	before	1.18994791372
zygote	before	2.23525120178
zygote	before	3.00538553058
zygote	before	1.34251487252
zygote	before	0.435111932366
zygote	before	1.3243099089
zygote	before	0.609314382894
zygote	before	1.91726961079
zygote	before	2.32678587734
zygote	before	5.6051032928
zygote	before	5.34531067925
zygote	before	3.00832761812
zygote	before	2.67054907528
zygote	before	4.02605858368
zygote	before	2.66427941873
zygote	before	0.17779465917
zygote	before	0.629216474665
