stage	type	logexpr
MII	NonEdit	3.7929939438
MII	NonEdit	2.94602193615
MII	NonEdit	4.75127717331
MII	NonEdit	3.6570713992
MII	Edit	3.18091639596
MII	NonEdit	2.20592990908
MII	NonEdit	2.23799430382
MII	NonEdit	2.00368837077
MII	NonEdit	2.70494538615
MII	NonEdit	2.72397604232
MII	Edit	3.13374486061
MII	NonEdit	3.59667370059
MII	NonEdit	2.25725817486
MII	NonEdit	3.63234613898
MII	NonEdit	3.60414366782
MII	NonEdit	2.32755181435
MII	NonEdit	2.8978051726
MII	NonEdit	2.5469342086
MII	NonEdit	1.86247263793
MII	NonEdit	2.9100654468
MII	NonEdit	1.99674176546
MII	NonEdit	4.84488762842
MII	NonEdit	3.45932791543
MII	Edit	1.80351839461
MII	NonEdit	5.15743905126
MII	NonEdit	3.24398591128
MII	NonEdit	1.98849744166
MII	NonEdit	2.27528480838
MII	NonEdit	4.80316822217
MII	NonEdit	2.66835257424
MII	NonEdit	2.29743183775
MII	NonEdit	2.96559260264
MII	NonEdit	2.17007603475
MII	NonEdit	3.18447897814
MII	NonEdit	3.39010947068
MII	NonEdit	7.01051942699
MII	NonEdit	4.19009555395
MII	NonEdit	4.97929597434
MII	NonEdit	2.20315694599
MII	NonEdit	2.49394897777
MII	NonEdit	3.91945928762
MII	NonEdit	5.80922298711
MII	NonEdit	2.49982810247
MII	NonEdit	4.13099627319
MII	NonEdit	2.04545291725
MII	NonEdit	3.62862242098
MII	NonEdit	4.3248913088
MII	NonEdit	3.84688483787
MII	NonEdit	3.89478732071
MII	NonEdit	2.54096399471
MII	NonEdit	2.75534082883
MII	NonEdit	1.98965358629
MII	NonEdit	3.38128714858
MII	NonEdit	3.06692206338
MII	NonEdit	3.28440510504
MII	NonEdit	2.39142346668
MII	Edit	3.32476979821
MII	NonEdit	2.93746206543
MII	NonEdit	3.30875674744
MII	NonEdit	4.31988656828
MII	NonEdit	3.84191808728
MII	NonEdit	4.24142458951
MII	NonEdit	3.45531933828
MII	NonEdit	2.02068096271
MII	NonEdit	2.17773476777
MII	NonEdit	2.12620823143
MII	NonEdit	3.39895152829
MII	NonEdit	4.59449339132
MII	NonEdit	2.43547127752
MII	NonEdit	2.79636017899
MII	NonEdit	2.35514243813
MII	NonEdit	2.78012276989
MII	NonEdit	2.25632018767
MII	NonEdit	2.99925605773
MII	NonEdit	4.55355684039
MII	NonEdit	4.03056841707
MII	NonEdit	4.10664361781
MII	NonEdit	2.48035463842
MII	NonEdit	4.00978290948
MII	NonEdit	3.31354943847
MII	NonEdit	2.6186359395
MII	NonEdit	5.35419190101
MII	NonEdit	3.10376122577
MII	NonEdit	1.86951186383
MII	NonEdit	2.85033649086
MII	NonEdit	3.06413830622
MII	NonEdit	3.998591451
MII	NonEdit	3.37172737548
MII	NonEdit	2.62682568426
MII	NonEdit	2.44310327109
MII	NonEdit	4.86142350894
MII	NonEdit	4.36095620405
MII	NonEdit	2.91380612666
MII	NonEdit	3.92617440043
MII	NonEdit	2.8677568465
MII	NonEdit	2.09699900342
MII	NonEdit	3.37291449842
MII	NonEdit	3.60880487093
MII	NonEdit	4.61333674865
MII	NonEdit	4.36318015013
MII	NonEdit	3.89119765533
MII	NonEdit	2.49215531462
MII	NonEdit	1.87616495383
MII	NonEdit	3.31755124499
MII	NonEdit	3.30008339229
MII	NonEdit	5.57428484024
MII	NonEdit	3.86687918526
MII	NonEdit	2.05029590407
MII	NonEdit	3.98536268252
MII	NonEdit	8.17316931279
MII	NonEdit	5.69409570907
MII	NonEdit	2.27394690686
MII	NonEdit	5.44300628187
MII	NonEdit	3.8240111281
MII	NonEdit	3.64606850377
MII	NonEdit	3.68669957991
MII	NonEdit	4.02605858368
MII	NonEdit	3.10711710652
MII	NonEdit	2.40127138549
MII	NonEdit	1.80012603834
MII	NonEdit	1.88571418535
MII	NonEdit	2.23820869205
MII	NonEdit	2.99589725994
MII	NonEdit	2.16061591647
MII	NonEdit	5.27602574427
MII	NonEdit	5.06688329363
MII	NonEdit	4.57814630811
MII	NonEdit	2.19371620798
MII	NonEdit	1.92561268506
MII	NonEdit	2.57400820195
MII	NonEdit	3.32622955276
MII	Edit	2.00432459915
MII	NonEdit	3.78859808422
MII	NonEdit	3.84020471764
MII	NonEdit	4.06865574525
MII	NonEdit	4.04932627557
MII	NonEdit	2.07932153448
MII	NonEdit	1.99715308503
MII	NonEdit	6.18433237926
MII	NonEdit	5.81505249475
MII	NonEdit	3.5742034616
MII	NonEdit	4.47153478796
MII	NonEdit	4.07289277581
MII	NonEdit	4.67666259769
MII	NonEdit	2.41974571277
MII	NonEdit	3.93040894342
MII	NonEdit	3.74889683277
MII	NonEdit	2.68019927295
MII	NonEdit	2.23354257742
MII	NonEdit	3.26155976489
MII	Edit	2.57128310303
MII	NonEdit	2.85801498944
MII	NonEdit	1.96706620179
MII	NonEdit	2.95346652899
MII	NonEdit	2.88951583614
MII	NonEdit	2.15561871085
MII	NonEdit	2.22819985164
MII	NonEdit	3.3698786984
MII	NonEdit	3.02554347113
MII	NonEdit	1.88221393974
MII	NonEdit	3.81843514159
MII	NonEdit	5.73403035981
MII	NonEdit	4.70818695722
MII	NonEdit	3.83239737743
MII	NonEdit	3.81739799084
MII	NonEdit	2.0211117067
MII	NonEdit	2.40497921325
MII	NonEdit	3.08006882639
MII	NonEdit	2.55297798568
MII	NonEdit	4.20649398104
MII	NonEdit	3.42152601438
MII	NonEdit	3.17478599679
MII	NonEdit	2.20340543641
MII	Edit	4.03038542876
MII	NonEdit	4.25288843497
MII	NonEdit	2.12749333808
MII	NonEdit	2.37299043314
MII	NonEdit	2.00378949344
MII	NonEdit	4.49439838905
MII	NonEdit	3.36195053483
MII	NonEdit	2.50929840412
MII	NonEdit	3.66262531047
MII	NonEdit	4.17630389354
MII	NonEdit	2.00048626337
MII	NonEdit	4.27179873695
MII	NonEdit	1.82529578755
MII	NonEdit	2.01103689001
MII	NonEdit	4.49150080265
MII	NonEdit	2.53501340719
MII	NonEdit	5.26658931318
MII	NonEdit	3.22564883616
MII	NonEdit	1.87146211909
MII	NonEdit	2.26458723185
MII	NonEdit	3.63274287097
MII	NonEdit	2.6248207545
MII	NonEdit	4.25571483226
MII	NonEdit	3.43237299913
MII	NonEdit	2.92048596143
MII	NonEdit	2.61384208047
MII	NonEdit	2.32096415849
MII	NonEdit	2.21523365819
MII	NonEdit	2.13048392959
MII	NonEdit	2.78245241568
MII	NonEdit	7.92927411775
MII	NonEdit	3.88770162392
MII	NonEdit	5.3981853257
MII	NonEdit	2.44705766206
MII	NonEdit	3.44436861456
MII	NonEdit	1.88259449895
MII	NonEdit	3.91934811121
MII	NonEdit	5.8081094564
MII	NonEdit	2.16287924905
MII	NonEdit	3.24551386097
MII	NonEdit	3.50829239221
MII	NonEdit	3.46467283795
MII	NonEdit	3.7916887181
MII	NonEdit	3.72003164643
MII	NonEdit	3.60478291576
MII	NonEdit	3.4434136038
MII	Edit	5.71640908905
MII	NonEdit	2.48669671333
MII	NonEdit	4.4587990006
MII	NonEdit	3.55705517497
MII	NonEdit	3.76103265981
MII	NonEdit	3.57608302713
MII	NonEdit	3.30138072961
MII	NonEdit	7.9535889602
MII	NonEdit	3.87675016914
MII	NonEdit	1.94262905787
MII	NonEdit	1.92499727709
MII	NonEdit	4.13725397656
MII	NonEdit	5.00331523438
MII	NonEdit	3.05360015788
MII	NonEdit	2.29161716456
MII	NonEdit	2.14607864051
MII	NonEdit	4.29400793232
MII	NonEdit	4.58595066865
MII	NonEdit	3.21168201133
MII	NonEdit	3.81190649369
MII	NonEdit	3.69612067309
MII	NonEdit	3.39497137357
MII	NonEdit	1.99493293923
MII	NonEdit	3.58477648075
MII	NonEdit	2.14120198879
MII	NonEdit	2.76998533637
MII	NonEdit	2.86320608982
MII	NonEdit	2.97309292657
MII	NonEdit	2.41804543328
MII	NonEdit	2.31461247321
MII	NonEdit	3.58605460981
MII	NonEdit	2.34510612334
MII	NonEdit	2.60712428251
MII	NonEdit	4.13874096094
MII	NonEdit	3.170374419
MII	NonEdit	2.41726108456
MII	NonEdit	3.99365276077
MII	NonEdit	2.47763863497
MII	NonEdit	3.85035821783
MII	NonEdit	2.66568535032
MII	NonEdit	3.4006172134
MII	NonEdit	1.90355722135
MII	NonEdit	2.1094031754
MII	NonEdit	4.73517160558
MII	NonEdit	2.46866716695
MII	NonEdit	3.52626934399
MII	NonEdit	2.46824358889
MII	NonEdit	2.5830914817
MII	Edit	1.97029888273
MII	NonEdit	3.43853812365
MII	NonEdit	2.34981499297
MII	NonEdit	3.42114705697
MII	NonEdit	6.33497623427
MII	NonEdit	4.26635059649
MII	NonEdit	9.04815550432
MII	NonEdit	3.10774759678
MII	NonEdit	2.12605910937
MII	NonEdit	5.44220556681
MII	NonEdit	2.83756269543
MII	NonEdit	2.55122483638
MII	NonEdit	2.62859565376
MII	NonEdit	1.89783273082
MII	NonEdit	3.32521586064
MII	NonEdit	3.19041873552
MII	NonEdit	2.47972658975
MII	NonEdit	1.85785927093
MII	NonEdit	5.3576046239
MII	NonEdit	3.39211963666
MII	NonEdit	4.11497201266
MII	NonEdit	3.59577957978
MII	NonEdit	1.83173790806
MII	NonEdit	3.25927276907
MII	NonEdit	4.01781622746
MII	NonEdit	3.63493528083
MII	NonEdit	2.12508509379
MII	NonEdit	3.06029266945
MII	NonEdit	4.28395201232
MII	NonEdit	1.86473418044
MII	NonEdit	3.14102238566
MII	NonEdit	2.5782527809
MII	NonEdit	4.6305064938
MII	NonEdit	4.17767723663
MII	NonEdit	1.83891814451
MII	NonEdit	3.23943502863
MII	NonEdit	2.98727662511
MII	NonEdit	4.01017641216
MII	NonEdit	3.10623106563
MII	NonEdit	2.9425793564
MII	NonEdit	3.75753993703
MII	NonEdit	3.87230456843
MII	NonEdit	2.66107039724
MII	NonEdit	4.03246738545
MII	Edit	4.71226519654
MII	NonEdit	2.37365287703
MII	NonEdit	4.87662378623
MII	NonEdit	2.2413562887
MII	NonEdit	4.31368622886
MII	NonEdit	3.22946357629
MII	NonEdit	5.59296636352
MII	NonEdit	3.63018250439
MII	NonEdit	1.92156768944
MII	NonEdit	3.32289704407
MII	NonEdit	1.94455494547
MII	NonEdit	3.6477136505
MII	NonEdit	3.13296057419
MII	NonEdit	2.94841003146
MII	NonEdit	3.58007969771
MII	NonEdit	3.93421493293
MII	NonEdit	2.31958280981
MII	Edit	2.95459252022
MII	NonEdit	2.59688770125
MII	NonEdit	2.39484425955
MII	NonEdit	2.37744114241
MII	NonEdit	2.28612638855
MII	NonEdit	2.43920296753
MII	NonEdit	3.42524588442
MII	NonEdit	2.16752567639
MII	NonEdit	2.16968664288
MII	NonEdit	2.86772843297
MII	NonEdit	2.80081168118
MII	NonEdit	2.24512122074
MII	NonEdit	4.61854040493
MII	NonEdit	2.55924078684
MII	NonEdit	2.2625169809
MII	NonEdit	3.23117586823
MII	NonEdit	4.37918259422
MII	NonEdit	5.84885781214
MII	NonEdit	3.50178452287
MII	NonEdit	2.71254010638
MII	NonEdit	3.66264584229
MII	NonEdit	2.97199270667
MII	NonEdit	3.46927027454
MII	NonEdit	2.19396371093
MII	NonEdit	3.43381622213
MII	NonEdit	3.89543213491
MII	NonEdit	2.44329441255
MII	NonEdit	2.9887277994
MII	NonEdit	2.89785480107
MII	NonEdit	4.42248216205
MII	NonEdit	2.2882680921
MII	NonEdit	3.935516851
MII	NonEdit	3.11755602341
MII	NonEdit	4.05521904454
